Week,Day,,How to think,Best practices,Patterns,Anti pattern,Limitaciones
,En Syllabus,"Teoría:

+ Cómo hacer que tu agente pueda interactuar con un sistema 
  - Transformar una Api en una serie de skills
  - Entender los pasos replicables que debe realizar el agente

+ Conectar Openclaw con tu cuenta de 4Geeks
  - Cómo conectar Openclaw con la API de 4Geeks
  - Cómo obtener tu token de estudiante en 4Geeks
  - Cómo configurar de forma segura tu token de 4Geeks en OpenClaw","- Cómo transformar una api en una serie de skills: para que tu agente pueda interactuar con un sistema (workflow > api)
- Comprender de forma básica superficial cómo funcionan las APIs sin conocer sobre su desarrollo
- Cómo conectar agentes con APIs sin tener un conocimiento profundo sobre APIs
- ",,,,
,En Syllabus,"> Proyecto: Conectar OpenClaw con la API de 4Geeks a través del token de la cuenta de cada estudiante para que pueda indicarle proyectos pendientes, progreso en el curso, etc..",,,,,
6,17,Skill: Identificar e implementar el tipo de memoria adecuado para Openclaw según cada caso de uso en la empresa,,,,,
,En Syllabus,"Teoría:
+ Openclaw y su memoria
  - `Memory.md` vs `/memory` folder (daily notes)
  - Usar QMD como método de búsqueda en lugar del método por defecto (memory_search)
    -- QMD: búsqueda por keyword, por semántica (similitud) y reranking.
  - ¿Cómo instalar y configurar QMD?

+ Reestructurando la memoria de Openclaw
  - Tipos de arquitectura para la memoria: 
    -- contexto
    -- estructura de carpetas
    -- mem0
    -- SQLite
  - Análisis de `mem0`y cómo funciona (graph style memory con almacenamiento propio de memoria) 
  ","- ¿Cómo funciona la memoria de Openclaw?
- Con QMD la memoria se sigue alojando en Memory.md y /memory folder pero la búsqueda es más eficiente (memory retrieval)
- ¿Cómo saber el tipo de memoria que me funciona para un caso de uso concreto? (Eficiencia de solución: No matar una hormiga con un cañón).
- ¿Cómo verificar el funcionamiento de la memoria?
- ",,,,
,En Syllabus,"> Proyecto: Implementar memoria al agente de OpenClaw

> Proyecto de compañía: Crear un asistente de onboarding para la empresa

- El estudiante recibe un diagrama de flujo con todo el proceso

- Crear un nuevo workspace para la empresa
- Integrar el envío de correo electrónico a Openclaw
- Crear un template (Readme) que debe leer un empleado y que Openclaw deberá enviarle por correo electrónico
  - Bienvenida
  - Indicación de escribirle al bot por Telegram
  - Él te va a devolver un código de seguridad que deberás dar a la persona de RRHH.
- Informar al agente sobre la nueva incorporación (Nombre y Correo). 
- Crear un skill con un script que apruebe los _pairing_ pendientes automáticamente si recibe el código de verificación (recordar que esto evita un riesgo de seguridad).
- Una vez aprobado, el bot debe escribir a la persona por Telegram saludando y dando las instrucciones del onboarding a la persona
- Todas las mañanas, enviará un resumen de todos los procesos de onboarding abiertos a la persona de RRHH 
- El bot debe establecer como terminado el proceso cuando ha recibido todos los entregables de la persona",,,,,
,,### FRONTEND DEVELOPMENT WITH CODING AGENTS ###,,,,,
6,18,Skill: Escribir especificaciones visuales claras y ejecutables garantizando que la interfaz del producto cumpla con los requisitos definidos,,,,,
,En Syllabus,"> Teoría: 


+ Convertir lo visual en especificaciones para la IA:
    - ¿Qué es una especificación y como escribilar para que un agente pueda desarrollarla (SDD)?
    - del “hazme esto” a ""construye esto bajo estas reglas""
    - Introducción al ""Vision-to-Spec"": Cómo traducir un diseño visual (mental o imagen) a especificaciones técnicas en lenguaje natural.
    - Anatomía de un Prompt de UI: Rol (Senior Frontend Dev), Stack (React + Tailwind/Bootstrap), Restricciones y Contenido.
    - Descomposición Visual (The Box Model Mental): Aprender a pedir ""contenedores"", ""filas"", ""columnas"" y ""grid"" sin escribir CSS.
      -- Mención de skills (0 - 3) - aplicadas a este contexto/skill. 
  
+ El Proceso Constructivo del frontend:
    - Iteración Constructiva (The Painter’s Algo):
      -- Estructura (Wireframe).
      -- Contenido (Textos/Imágenes).
      -- Estilizado (Colores/Espaciado).
    - Camino de menor resistencia
    - Feedback Loop: Cómo decirle a la IA que algo ""se ve mal"" usando la terminología correcta (padding, margen, alineación).
","

Desarrollar  pensamiento Declarativo: Pasar de pensar en ""cómo hacerlo"" (imperativo) a ""qué quiero obtener"" (declarativo).

Entender que la calidad de la respuesta depende de la calidad de la restricción

  - Entender qué es Spec-Driven Design y por qué mejora el trabajo con agentes de código.
  - Aprender a convertir una idea vaga en una especificación ejecutable y verificable.
  - Diseñar flujos donde el agente no solo programa, sino que trabaja con contexto, restricciones y criterios de aceptación claros.
-   El problema no suele ser el modelo, sino la calidad del encuadre del trabajo.
- Una buena especificación permite delegar mejor, revisar menos y reducir el retrabajo.
- Comprender que las prompts no deben ser exageradamente extensas sino tener la información realmente necesaria para que el modelo comprenda lo que se quiere obtener.
- Identificar reglas mediante el análisis del qué se hizo, qué errores se cometieron, qué buenas prácticas se quieren implementar, qué acciones siempre se deben realizar...

Desarrollar abstracción Espacial: Capacidad de ver una web (ej. Spotify) y no ver ""música"", sino ver: Sidebar (fixed) + Main Content (scrollable) + Player (sticky footer).
Entender que una Landing Page no es una sola instrucción, sino la suma de Navbar + Hero + Features + Footer. (Descomposición de Problemas)

- Comprender la importancia y funcionamiento de la jerarquía de reglas
- Controlar el uso de los contextos de aplicación de las reglas","- Definir especificaciones antes de empezar a desarrollar
- Especificaciones pequeñas, claras y precisas

- Usar Globs para reglas de formatos, utilidades y pruebas y agrupar por carpetas
- Mencionar ficheros ","El Patrón ""Matrioshka"" (Component Isolation)        Nunca pedir la página entera de una vez. Pedir componente por componente, de afuera hacia adentro o por secciones.

- Reglas claras, limitadas y específicas

- Agregar nuevas reglas en función de las necesidades repetitivas que se van identificando

El Patrón ""Role & Stack Priming""        Definir el contexto técnico antes de pedir nada para evitar código ""vanilla"" o librerías obsoletas.

El Patrón ""Reference Injection""        Si el modelo es multimodal (acepta imágenes), subir un screenshot. Si no, describir la estructura basada en una grilla.

El Patrón ""Dummy Data First""        Pedir a la IA que hardcodee datos falsos (arrays de objetos) para visualizar la UI antes de conectar lógica real.

El Patrón de Refinamiento (Drill-Down)        Ir de lo general a lo específico (Layout -> Componentes -> Estilos finos).","El ""One-Shot Wonder"" (La Bala de Plata):        Intentar generar el clon de Airbnb completo (Home, Detail, Checkout) en un solo prompt gigante.

Asumir que la IA sabe qué todo lo que has estado ""hablando"" durante todo el proyecto (ej. librerías usaste hace 3 prompts).

Escribir 4 párrafos de historia de la empresa que no afectan el código. (Desperdicia tokens y confunde la atención de la IA).

El Prompt ""Adivina"": ""Hazme una página bonita para una tienda"". (Demasiada entropía, la IA alucinará estilos aleatorios).

El ""Vague Designer"" (Diseñador Vago) : Usar adjetivos subjetivos en lugar de técnicos.

El ""Frankenstein Stack"":        No especificar librerías, resultando en una mezcla de CSS puro, Bootstrap, estilos en línea y librerías raras.

La ""Lógica Prematura"":        Intentar programar la funcionalidad (ej. autenticación, base de datos) mientras se está diseñando la UI.",
,En Syllabus,"> Proyecto 1: 
  -  Desarrollar un panel de administración con Visual to Spec
+ Instrucciones al profesor
    - Elaborar prompts de especificación y generación de componentes.
    - Reconstruir la UI mediante IA definiendo reglas",,,,,
7,19,Skill: Construir la arquitectura en un proyecto Next.js,,,,,
,En Syllabus,"> Teoría:

  + Arquitectura de Single Page Applications (SPA) y Empaquetado.
     - Building or compiling your app
     - Build time vs Runtime
     - Arquitectura SPA (Single Page Application):
       -- Juzgando una página web (múltiples páginas)
       -- La ilusión de la navegación: Hashstring (#) vs Browser History.
  + Introducción a React y Next.js
     - ¿Qué es un Componente Web (en React)?
       -- ¿Cómo se crean?
       -- ¿Cómo se modifica el contenido en la web?
     - ¿Qué es Next?
       -- React vs Next
     - Organización del Proyecto: Estructura de carpetas: /pages (vistas) vs /components (piezas) vs /layouts
     - App Router: Folder and file conventions
       - Top-level folders & files
       - Routing Files
       - Nested routes
       - Route groups and private folders
       - Metadata file conventions
     - Renderizado del lado del cliente (CSR) vs del lado del servidor (SSR)
     - Introducción a componentes: Creando mi primer componente React en Next.js
       -- Introducción superficial a props, useState y useEffect (estandar hasta React 18)

  + Organizando mi frontend
    - Modularización: ¿Qué es un módulo?
      -- Por qué modularizar mi aplicación
    - Ejercicio donde se plantea una modal en la raíz de los componentes y en el que debería crear una nueva modal, para que responda cómo reorganizaría los archivos y se evalúe su respuesta 
      -- (la respuesta debería ser crear una carpeta ""modals"" con las variantes modal1 y modal2)
    - Referencia a las carpetas más importantes adicionales a la estructura de Next (como libs, types, hooks, entre otras...)","Poder leer la estructura de archivos de un website con React y determinar si tiene mejores prácticas. 

Verificar que las rutas sean ""url friendly"" y ""website taxonomy"": pensar en como ""agrupar"" el website, por ejemplo, /product/id/1asfa-fgasf-afsasd-asd
si no que sea producto/bateria-carro

Pensamiento Estructural/Jerárquico: Diferenciar entre un componente que es una ""Vista"" (ej. Home.jsx) y uno que es un ""Widget"" (ej. Button.jsx).

La Ilusión de la Persistencia: Comprender que al navegar en una SPA, el navegador no ""refresca"". El alumno debe mentalizarse en que está inyectando contenido dinámicamente, no cambiando de archivo HTML.

Abstracción del Layout: Habilidad para identificar qué partes de la web son constantes (Navbar, Footer) y qué partes son dinámicas (Outlet).

Poder estar familirizado/cómodo navegando el ""codebase"" del proyecto. ","
Clean Routing: Definir las rutas en un archivo separado o claramente en el entry point, no esparcidas.

Componentes Funcionales: Prohibido usar Class Components (la IA a veces recurre a ellos si aprendió de datos antiguos).

Nombrado Semántico: Las vistas se llaman HomePage, ContactPage para diferenciarlas de componentes pequeños.","El Patrón ""Layout Wrapper"": Instruir explícitamente a la IA para crear un componente ""Layout"" que contenga el Navbar y el Footer, y use un Outlet (o children) para el contenido. Evita repetir código en cada página.

El Patrón ""Route Map Definition"":  Antes de pedir código, definir el mapa del sitio en una lista. Esto ayuda al LLM a visualizar la totalidad del router main.jsx.

El Patrón ""Folder Structure Enforcement"" :Los LLMs tienden a poner todo en la raíz. Hay que forzar la separación de conceptos.

El Patrón ""Link over Anchor"":  Instruir específicamente el uso del componente <Link> en lugar de etiquetas <a> para mantener el estado de SPA.","El ""Hard Refresh"" Trap (La Trampa del <a>): Dejar que la IA use <a href=""/contact"">.

El ""Redundant Layout"" (Copy-Paste): Pedir ""Crea la página Home"" y luego ""Crea la página Contacto"" por separado sin contexto.

El ""Monolithic App"" :  Dejar que la IA meta todo el código de las 3 vistas dentro de App.js usando renderizado condicional manual (if (page === 'home')...).

Ignorar el Build Error: Tratar de arreglar errores de compilación (Build Time) como si fueran de lógica (Runtime).",
,En Syllabus,"> Proyecto con IA: Replicar una website con React 
  - Replicar la home, catálogo y vista de una habitación de airbnb.com con Next.js y React básico 
  - Elaborar prompts de visión a especificación y generación de componentes.
  - Recordar que debe ser mobile first

Pedir que comience el proyecto con un archivo ""readme.md"" que contenga ""el contexto"" de la interfaz que desea construir.",,,,,
7,20,Skill: Implementar interfaces interactivas con React y Next.js,,,,,
,En Syllabus,"> Teoría :
   + Fundamentos de React y Next.JS
     - Props
       -- Props más comunes
       -- Prop 'Children'
     - Hook pattern
       -- use (sustituto de useState y useEffect a partir de React 19)
       -- Custom hooks
     - Principales Hooks de Next.js
       -- usePathname
       -- useSearchParams
       -- ¿Qué son las Query strings?
     - Renderización
       -- Controlando los renderings (re renderizado)
       -- ¿Qué es lo mínimo que el componente necesita para renderizarse?
       -- Error: Si se renderiza el padre, lo hará también el hijo
       -- Error: useEffect sin limitación de disparadores
     - Renderizado del lado del cliente (CSR) vs del lado del servidor (SSR)

   + Debugging frontend: 
     - Dev Tool: Evidencia sobre suposición. 
       -- Elements
       -- Console
       -- Network tab
       -- React developer tools. (tal vez) ","- Saber identificar y aplicar propiedades a un componente.

- Saber modificar el renderizado (output) de un componente basado en variables. 

- Entender y diseñar estados de los datos de los componentes y modificar el renderizado de componentes basado en estos estados.

- Identificar los efectos secundarios que produciran el cambio de los datos en el componente y sus dependencias para la renderizacion o comunicación de otros componentes","- Un use, una acción
- Limitar los disparadores del useEffect","- CustomHooks para promover DRY (y siempre con return)
- Callback function props para ampliar la reutilizabilidad del componente
- Estados objeto para datos estructurados","- Prop Drilling
- Props maestros (configuración masiva en un prop)
- Repetir fetch entre componentes en lugar de usar un CustomHook",
,En Syllabus,"
  > Proyecto 1: 
  - Crear un catálogo con búsquedas y filtrado para incorporar query strings
",,,,,
7,21,Skill: Entender la arquitectura de la web y el flujo de datos en ella,,,,,
,En Syllabus,"> Teoria: 
  + ¿Cómo es el flujo de datos en una aplicación de React y Next.js?
    - MVC: store, actions
    - LocalStorage vs SessionStorage
      - ¿Cuándo almacenar algo en el storage?
    - Dependencia de los datos:
      -- ¿Cómo se usa el `use` para controlar la dependencia de datos?

  + Sesiones (NO MENCIONAR PROCESOS DE AUTENTICACIÓN)
    - ¿Qué es una sesión?
    - ¿Por qué una sesión puede no requerir autenticación?
    - Sesión como primer mecanismo de ""memoria"" (recordar al usuario)
    - ¿Cuándo almacenar o recordar algo en la sesión?
    - Ciclo de vida de una sesión
      -- La primera interacción con el sistema (Session init)
      -- Siguientes interacciones
      -- Destrucción de la sesión 

  + Promises
    - ¿Qué es una promesa? ¿Por qué es importante en el frontend?
    - Estados: pending, fulfilled (resolve), rejected (reject)
    - Gestión de promesas:
      -- ¿Qué pasa si no llegan o llegan tarde los datos?
      -- .then(...)
      -- async / await
      -- ¿Cuándo usar el Promise.all()?
    - Ejemplos de Promesas:
      -- Obtener datos de una dirección web (Solo con GET)
      -- Promesas en el manejo del LocalStorage
      -- Validación dentro de promesas (condicionando los resolve y reject)
    - Introducción al error handling
      -- .catch() (en Promise directas y fetch)
      -- try - catch (en async / await)


      

","- ¿cómo superar la pantalla blanca de error en la que no carga la vista? 
- utilizando el network tab (DevTools) y entendiendo el flujo de los datos
- Comprender el funcionamiento e importancia de las promesas
- Gestionar adecuadamente las promesas (resueltas y rechazadas)
- Diferenciar la función del LocalStorage y el SessionStorage","- Promise.all para no encadenar múltiples async / await no relacionados entre sí
","- MVC 
- Promise
- Async / Await
- One way data flow: Datos padre->hijo, Eventos hijo->padre
- Store solo modificado por función pura
- Actions de Store solo para acceder y modificar información del Store
- UI de tres estados: Pending: Spinner/Skeleton; Fulfilled: Datos; Rejected: Mensaje de error.","- Gestión de errores con if/else
- Emplear el LocalStorage para almacenar datos sensibles
- Optimismo ciego: asumir que siempre se resuelve la interfaz
- Gestionar errores dentro de la promesa en lugar de esperar a resolver la promesa.",- Llamadas a APIs solo con GET
,En Syllabus,"EJERCICIOS: Learnpack incremental que pida hacer diversas consultas a una API (a desarrollar) y registrar la respuesta como resultado.
Ejemplo: Cuál es la sintaxis para obtener el valor ""X"" en el JSON obtenido

Proyecto: 

""""""
Tu empresa comienza su tránsito hacia una compañía automatizada en IA y te ha pedido diseñar una estrategia para concientizar sobre el consumo de tokens en la comunicación con la IA, de cara a las futuras soluciones de IA que implementarán, para así evitar que los costes se escapen de las manos y la gente use las herramientas con conciencia. Para eso, has propuesto utilizar una API multimodelo muy conocida (Groq) que permite seleccionar diversos modelos y chatear con ellos, aprovechando que Groq devuelve el consumo de tokens realizado según indica su API (POST https://console.groq.com/docs/api-reference) 

En la vista principal se permitirá seleccionar un modelo y se ofrecerán dos opciones: Chatear | Optimizar prompts.

La opción de prompts mostrará una entrada de texto con un botón de enviar que le envíe a la IA un mensaje indicando que debe optimizar el texto y mostrando la respuesta y cuántos tokens consumiría.

La opción de Chat abrirá una interfaz que muestre una interfaz de Chat con IA (como la de ChatGPT, Gemini, Claude, Mistral...) que permitirá conversar y mostrar la cantidad de tokens de cada mensaje y respuesta Se irá actualizando un contador en la parte superior del chat (tokens enviados y tokens recibidos). Al marcar ""terminar chat"" (o ""ver resumen de conversación"") Mostrar una vista con la totalización de tokens enviados, tokens recibidos y mensaje más largo enviado. Suma el total de tokens e investiga un precio promedio de coste de tokens para dar una referencia de cuánto dinero se consumió en esa conversación.
""""""

Actividades:
 - Crear cuenta en Groq, generar API Key para comunicarse con un modelo desde el proyecto.
 - Crear con Vercel V0 la interfaz de una aplicación que conste de las siguientes vistas:
 - 1. Home como aplicación interna de la empresa que explique el propósito de la misma y selección del modelo a emplear (GET
https://api.groq.com/openai/v1/models) y botón de acceso al chat
 - 2. Una interfaz de conversación con el modelo seleccionado y mostrando los datos de generación y consumo de tokens.
 - 3. Una vista de resumen que al terminar la conversación mediante un botón de terminar (en la vista de chat): Mostrar la totalización de tokens enviados, tokens recibidos y mensaje más largo enviado. Suma el total de tokens y e investiga un precio promedio de coste de tokens para dar una referencia de cuánto dinero se consumió en esa conversación.
 - 4. Una vista de consejos para ahorrar tokens

 ",,,,,
8,22,Skill: Communicate frontends with AI and Data connecting with APIs,,,,,
,En Syllabus,"> Teoría:
  
  + Comunicarse con APIs externas: 
    - ¿Qué son las APIs y cómo funcionan?
    - Métodos principales: GET, POST, PUT, PATCH, DELETE
    - Request:
      -- Headers: Principalmente Content-Type y Authentication
      -- Body (html encode, params raw) 
        --- Files (mención)
    - Response: No todo error es un crash.
      -- Status Code
      -- Body/data
    - Herramientas y Autenticación: 
      - Postman
      - Autenticacion básica. 

  + Stateless comunication: El servidor tiene amnesia
    - Hay que pasarle al endpoint toda la informacion que necesita, siempre, no hay manera que el backend te avise algo hay que pedirselo
    - Lo más parecido a un state se llama polling que es hacer request/peticion cada x segundos 


  ","- Comprender cómo se comunican los distintos entornos (frontend,backend, base de datos)

- Identificar semanticamente qué tipo de petición se necesita (get, post, ...) 

- Analizar la respuesta e identificar su cohorencia con la petición realizada. 

- Aprender a usar herramientas: postman, network tab, etc. 

- Realizar las peticiones basadas en el comprendimiento de ""stateless comunication"" 

- Identificar las necesidades de la petición (text, json, files) 

- Aprender a leer los payload, responses, headers, etc. ","- Separar las llamadas a APIs fuera de las actions del Store.
- Custom hooks para gestionar las peticiones a APIs","- Lectura de Códigos: 200, 300, etc. 

- La Mochila Completa: Cada petición es un viaje nuevo. Debes llevar tu pasaporte (Token) y tu dirección (IDs) cada vez que sales.

- Headers Explícitos: Configurar siempre el Content-Type y el Authorization antes de enviar.","""Ya te dije quién soy"": Hacer el Login en la petición 1, y en la petición 2 no enviar el Token, esperando que el servidor recuerde la sesión anterior.

- El Header Olvidado: Enviar un JSON en el Body pero olvidar poner Content-Type: application/json. El servidor no sabe cómo leerlo y falla.",
HITO 03,En Syllabus,"

⚛️ Hito 3 — Fundamentos de Next.js (React)
 Arquitectura SPA (Single Page Applications) y multipágina, props/state/effects, debugging. Construir el frontend interactivo de la empresa.
 

",,,,,
,,### WORKING WITH AI CODING AGENTS ###,,,,,
8,23,Skill: Gestionar adecuadamente el uso del agente de código para un desarrollo eficiente y una buena economía de tokens,,,,,
,En Syllabus,"> Teoría:
+ AI Engineering Fundamentals: Introduction to AI-Assisted Development
+ Speaking AI's Language: Structured Formats
+ Token Efficiency
+ Coding agents working modes
  - Ask
  - Plan
  - Agent
  - Debug","- What is the best agent mode for what I want to do
- How to use the agent modes along my feature development
- How to use agents and models efficiently","- Auto mode by default
- Start talking with the agent
","- Think -> Talk -> Implement
- Identify when I need a more/less powerful model for a task","- Doing everything with the most powerful model
- Talk with the agent in agent mode
",
,En Syllabus,,,,,,
8,24,Skill: Construir un banco de memoria y reglas de contexto a partir de un código base preexistente,,,,,
,En Syllabus,"> Teoría:

+ Estrategias en la comunicación con la IA (Context & Anatomy):
    - Context Engineering
    - Word efficiency  
    - Mención de la skill ""Hablar el lenguaje de la IA"" para refrescar los formatos.

+ ¿Qué son las reglas para una IA de programación?
   - Alcances de las configuraciones y reglas de contextos: User vs Project. ¿Qué reglas son de preferencia personal y cuáles son de necesidad del proyecto?
   - Aplicación de reglas: description, globs, alwaysApply
     -- Eficiencia de tokens: 
        --- Ir de lo general a lo específico. Muchos contextos con pequeños. 
        --- Ir de lo específico a lo general. Mínimos contextos necesarios a la vez.
   - Tipos de aplicación: Always, Auto Attached (pattern), Agent Requested (agent decides), Manual (mention), LLM Oriented

 + Memory bank: Persistencia del conocimiento más allá del chat actual
   - ¿Qué es un banco de memoria? ¿Para qué sirve?
   - ¿Qué es el contexto del producto? Descripción general del producto y del negocio para un mejor contexto de lo que se quiere desarrollar
   - ¿Qué es el plan de implementación? ¿Cómo construirlo con la IA? ¿Cómo gestionarlo con la IA?","
- Saber crear y gestionar el banco de memoria 
- Comprender la relevancia de un contexto bien mantenido para una estrategia de desarrollo exitosa.
- Comprender que el código también es contexto y que las buenas prácticas se replican y que las malas prácticas de un código también se potencian con la IA.

https://www.anthropic.com/engineering/effective-context-engineering-for-ai-agents

- Entender que las skills son una evolución de las reglas con un propósito y contexto más claro
","- Mencionar ficheros 
- Comprender la estructura actual del proyecto. ","- Crear un plan de implementación y luego señir el desarrollo a su ejecución
- Mantener un plan de implementación dinámico según las necesidades del proyecto
- Gestionar y mantener actualizado el banco de memoria
- Contenidos curados y concretos, no ambigüedades o divagaciones
- Respetar las reglas del preexistentes del proyecto y sólo modifcar bajo consenso","- Desarrollar de forma imperativa (saltar el plan de implementación, dándole órdenes nuevas a la IA)
- Dictador Global: Sobreescribir reglas de proyecto o de equipo por preferencias personales
- Ser muy descriptivo y ambiguo en la definición de reglas
- Confianza ciega en la proactividad del agente
- Pegar conversaciones muy largas y difíciles de procesar.
- Crear un contexto únicamente técnico y omitir el negocio.
- Sobreescribir las reglas preexistente ""solo porque no me gusta""",
,En Syllabus,"> Proyecto:

+ Obtener el código de un proyecto y preparar el contexto para que la IA desarrolle
- Haz fork del repositorio `https://github.com/4GeeksAcademy/ai-eng-financial-dashboard-context-project` y prepara tu entorno local.
> 2. Pídele a tu asistente de IA un resumen del proyecto y valida ese resumen contra la estructura y el código reales.
> 3. Haz un commit separado por cada paso importante (sin un mega-commit para todo).
> 4. Identifica buenas y malas prácticas de ingeniería en el código y conviértelas en reglas explícitas del proyecto.
> 5. Documenta esas reglas dentro de `.agents/rules` e itera hasta que sean aplicables al flujo real del proyecto.
> 6. Genera una carpeta `memory-bank` con al menos: descripción del producto, stack tecnológico y estado actual del proyecto.

",,,,,
9,25,Skill: Escribir especificaciones claras y ejecutables garantizando que el producto cumpla con los requisitos definidos,,,,,
,En Syllabus,">Teoría: 

+ Spec Driven Development
 - ¿Qué es una especificación?
 - del “hazme esto” a ""construye esto bajo estas reglas""
 - ¿Qué es el Spec Driven Design?
 - Relación entre Spec-Driven Design y agentes de código
 - Anatomía de una spec bien hecha
 - Buenas prácticas: Cómo escribir specs que los agentes ejecuten bien
 - Uso de criterios de aceptación como contrato

",,,,,
,En Syllabus,Proyecto: Desarrollar algunas especificaciones adicionales en el proyecto del día anterior,,,,,
9,26,Skill: Sintentizar acciones y reglas como habilidades (Skills) para que los agentes puedan resolver problemas complejos de forma clara y precisa,,,,,
,En Syllabus,"> Teoría: 
  + Skills: ¿Cómo puede tu agente aprender habilidades casi como Neo en Matrix?
   - ¿Qué son las skills para los agentes?
     -- ¿Cómo funcionan?
   - ¿Cómo puedo enseñarle nuevas skills al agente?
   - ¿Dónde puedo conseguir skills ya existentes? (https://skills.sh/)
 
  + Creación de Skills:
    - ¿Por qué es beneficioso crear una skill?
    - ¿Cuándo crear una skill?
    - ¿Cómo añadir mis propias skills a mi agente?
    - ¿Qué estructura debe tener una skill para ser efectiva?
    - Checklist de criterios de calidad de una buena Agent Skill
      -- ¿Tiene un objetivo único y claro?
      -- ¿Sus inputs están definidos y validados?
      -- ¿El output es estructurado y verificable?
      -- ¿Tiene criterios de aceptación explícitos?
      -- ¿Es reusable en otros contextos?
      -- ¿Se puede testear automáticamente?
      -- ¿Minimiza ambigüedad?
      -- ¿Tiene manejo de errores?
      -- ¿Se puede componer con otras skills?
","- Concebir las skills como descripción de funciones, acciones y habilidades concretas para enfocar el trabajo de un agente 
- Reconocer nuestras habilidades como potenciales skills a transmitir a un agente
- Comprender la importancia de las skills como un contexto enfocado a la acción
- Identificar cuándo es conveniente crear una skill para hacer más eficiente el trabajo de un agente de código
- Comprender que no hay una estrategia única y que la configuración es un balance entre reglas, contexto, skills, especificaciones y la base de código existente.","- Diseñar skills como unidades pequeñas y composables
- Especificación explícita (Spec-first)
- Inputs y outputs estructurados
- Minimizar variabilidad innecesaria
- Contexto mínimo pero suficiente
- Manejo explícito de errores
- Las skills deben dejar trazabilidad
- Separar “pensar” de “hacer”
- ","- Spec → Plan → Execute
- Generator + Validator: una skill genera y otra valida
- Chain of Skills: Varias skills pequeñas encadenadas
- Tool Wrapper: Skill que encapsula herramientas
- Guardrails First: Antes de ejecutar, validar.
- Retry with constraints
- Self-critique / reflection: El agente evalúa su propio output antes de devolverlo","- God Skill (skill monolítica)
- Inputs implícitos: Depender de contexto no declarado
- Outputs ambiguos: Respuestas abiertas cuando se necesita estructura
- Overprompting: Incluir demasiadas instrucciones irrelevantes
- Under-specification
- Mezclar responsabilidades: Una misma skill que decide, implementa, valida y despliega.
- No manejar edge cases
- No validar inputs o outputs
- Side effects no controlados
- Dependencia excesiva del lenguaje natural
- ",
HITO 04,En Syllabus,"
> Proyecto 1: 
  Usar el proyecto del banco de memoria para:
  1) Instalar en el Copilot una Skill de skills.sh para auditoría de accesibilidad y buenas prácticas.
  2) Realizar ambas auditorías y registrar las propuestas de mejora en accesibilidad y buenas prácticas en dos documentos: seo-audit-result.md y accessibility-audit-result.md.
  3) Generar un plan de implementación de las mejoras a incorporar en un Markdown.


  🎨 Hito 4 — Ingeniería de UI impulsada por IA
  - Abrir el proyecto generado y comenzar a establecer reglas para ir modificando la versión actual con todo lo aprendido.
  - El proyecto debe resultar en un website creado con Tailwind CSS (HTML + CSS + Typescript) que pueda incluir elementos componentes web comunes como dropdowns, modales... y tener todas las validaciones necesarias con Typescript (correo bien validado, por ejemplo)

  + Instrucciones al profesor
    - Elaborar prompts de especificaciones y generación de componentes.
    - Reconstruir la UI de la empresa mediante IA.",,,,,
,,### CODING FUNDAMENTALS WITH PYTHON ###,,,,,
9,27,Skill: Entender los fundamentos de Python y su sintaxis para aplicar el concepto de algoritmos mediante código en Python,,,,,
,En Syllabus,"> Teoría:
  - (Mención a Skills 6 y 7)


  + Intro to Python
    - ¿Qué es Python?
      -- ¿Cómo funciona Python?
    - ¿Cómo se escribe código en Python?
        -- ¿Qué es la sintaxis?
        -- Reglas principales de la sintaxis de Python
    - Variables

  + Tipos de datos y operadores básicos de Python: 
    - Tipos de Datos primitivos (int, float, bool, str, None)
    - Operadores en Python (aritméticos, asignación, comparación, lógicos) 
  
  + Control de flujos en Python
    - Flujos simples: Condicionales (if, elif, else)
    - Flujos repetitivos: Bucles
      - for..in (con range, con listas de elementos clave-valor) y for en línea (List Comprehensions)
      - interruptores de flujo: break (para cortar la ejecución) y continue (para saltar esta iteración)
      - Bucles anidados
    - Ciclos: for..in (con range, con listas de elementos clave-valor) y for en línea (List Comprehensions)
    - Identificar oportunidades de mejora en ciclos anidados: Big O Notation (contenido referencial no muy profundo)","- Aprender una nueva sintaxis asociando con un lenguaje ya aprendido.

- Convertir soluciones de pseudocódigo a la sintaxis del lenguaje.
 
- Aprender a investigar siempre que sea necesario. (memorizar no es una habilidad a desarrollar, se dará con la práctica) 

- Identificar cuándo se hace uso de una palabra reservada. 

- Aprender a identificar tipos de datos por su valor (su composicion). 

- Comprender las diferencias de los tipos de datos

- Identificar los casos de uso de cada tipo de dato

","

Escribe el codigo, no lo copies



","- snake_case para variables y funciones

- para definir clases: PascalCase 

- Logs Etiquetados: print(""El valor de x es:"", x)

- Nombres Semánticos

- Identacion y "" : "" como indicador de bloques","- Buscar la sintaxis perfecta. 

- Usar código mágico (copiar y pegar, no tener concimiento de lo que hace código)

- Inconsistencia en la sintaxis (no mantener decisiones anteriores en estructura, patrones, etc)

- Crear bucles infinitos

- Condiciones kilométricas 

- Exceso de anidación de condicionales: if dentro de if dentro de if... formando una flecha a la derecha. ",- No IA
,En Syllabus,Ejercicios de JS que deban traducirse a Python.,,,,,- No IA
10,28,Skill: Implementar colecciones y diccionarios en Python siguiendo la lógica de la solución a implementar,,,,,
